FID,osm_id,name,ref,type,oneway,bridge,maxspeed
2159,99184598.000000000000000,鼓楼西街, ,tertiary,1,0,0
2160,99184766.000000000000000,南马路, ,secondary,1,0,0
2161,99185294.000000000000000,南城街, ,tertiary,1,0,0
2162,99185295.000000000000000,南马路, ,secondary,1,0,0
2163,99185296.000000000000000,城厢西路, ,tertiary,1,0,0
2164,99186056.000000000000000,南城街, ,tertiary,1,0,0
2165,99187276.000000000000000,北城街, ,tertiary,1,0,0
2166,99187277.000000000000000,北城街, ,tertiary,1,0,0
2167,99190871.000000000000000,城厢中路, ,primary,1,0,0
2168,99191842.000000000000000,南开二纬路, ,secondary,1,0,0
2169,99191843.000000000000000,西市大街, ,secondary,1,0,0
2170,99192131.000000000000000,南开三马路, ,primary,1,0,0
2171,99192638.000000000000000,南京路, ,primary,1,0,0
2172,99194031.000000000000000,南开二纬街, ,secondary,1,0,0
2173,99194435.000000000000000,城厢中路, ,primary,1,0,0
2174,99197026.000000000000000,南开二马路, ,tertiary,0,0,0
2175,99197027.000000000000000,南开二马路, ,unclassified,1,0,0
2176,99197028.000000000000000,多伦道, ,tertiary,0,0,0
2177,99197727.000000000000000,卫津路, ,primary,1,0,0
2178,99197728.000000000000000,卫津路, ,primary,1,0,0
2179,99197729.000000000000000, , ,secondary,1,0,0
2180,99197731.000000000000000,新兴路, ,secondary,1,0,0
2181,99198014.000000000000000,多伦道, ,tertiary,1,0,0
2182,99200836.000000000000000,荣业大街, ,tertiary,1,0,0
2183,99205674.000000000000000,南城街, ,tertiary,1,0,0
2184,99206228.000000000000000,南马路, ,secondary,1,0,0
2185,99207009.000000000000000,中山路, ,secondary,1,1,0
2186,99207915.000000000000000,南运河南路, ,secondary,1,0,0
2187,99207918.000000000000000,大胡同, ,secondary,1,0,0
2188,99207920.000000000000000,金刚桥, ,secondary,1,1,0
2189,99207923.000000000000000,大胡同, ,secondary,1,0,0
2190,99207924.000000000000000,大胡同, ,secondary,1,0,0
2191,99208477.000000000000000,张自忠路, ,secondary,1,0,0
2192,99208478.000000000000000,大胡同, ,secondary,1,0,0
2193,99208479.000000000000000,大胡同, ,secondary,1,0,0
2194,99208481.000000000000000,南运河南路, ,secondary,0,0,0
2195,99208734.000000000000000,张自忠路, ,secondary,1,0,0
2196,99215597.000000000000000,南运河南路, ,secondary,1,0,0
2197,99322097.000000000000000,五马路, ,secondary,1,0,0
2198,99322099.000000000000000,五马路, ,secondary,1,1,0
2199,99322457.000000000000000,五马路, ,secondary,1,0,0
2200,99323722.000000000000000,五马路, ,secondary,1,1,0
2201,99325012.000000000000000,黄纬路, ,primary,1,0,0
2202,99326825.000000000000000,Chengxiang East Road, ,tertiary,1,1,0
2203,99326826.000000000000000,子牙河南路, ,secondary,1,0,0
2204,99326829.000000000000000,Chengxiang East Road, ,tertiary,1,1,0
2205,99326831.000000000000000,金钟桥大街, ,tertiary,1,0,0
2206,99329426.000000000000000,进步桥, ,secondary,1,1,0
2207,99331500.000000000000000,兴安路, ,tertiary,1,0,0
2208,99331774.000000000000000,兴安路, ,tertiary,1,0,0
2209,99332719.000000000000000,通南路, ,secondary,1,0,0
2210,99685628.000000000000000,张自忠路, ,secondary,1,0,0
2211,99685629.000000000000000,荣吉大街, ,tertiary,1,0,0
2212,99698505.000000000000000,营口道, ,tertiary,1,0,0
2213,99698506.000000000000000,赤峰道, ,residential,1,0,0
2214,100305407.000000000000000,南京路, ,secondary,1,0,0
2215,100305408.000000000000000,南京路, ,primary,1,0,0
2216,100305524.000000000000000,南京路, ,tertiary,1,0,0
2217,100306317.000000000000000,解放南路, ,secondary,1,0,0
2218,100306318.000000000000000,台儿庄路, ,tertiary,1,0,0
2219,100306434.000000000000000,直沽桥, ,secondary,1,0,0
2220,100307000.000000000000000,奉化道, ,secondary,1,0,0
2221,100307005.000000000000000,大沽南路, ,primary,1,0,0
2222,100419196.000000000000000,琼州道, ,secondary,1,0,0
2223,100419907.000000000000000,广东路, ,residential,1,0,0
2224,100420104.000000000000000,广东路, ,secondary,1,0,0
2225,100420342.000000000000000,广东路, ,secondary,1,1,0
2226,100420343.000000000000000,广东路, ,secondary,1,0,0
2227,100420629.000000000000000,九龙路, ,secondary,1,0,0
2228,100420730.000000000000000,九龙路, ,secondary,1,0,0
2229,100421100.000000000000000,马场道, ,tertiary,1,0,0
2230,100421577.000000000000000,合肥道, ,tertiary,1,0,0
2231,100427707.000000000000000,台儿庄路, ,tertiary,1,0,0
